LotArea,TotalBsmtSF,GarageCars,SalePrice,AGE,TotalArea
12108,1440,0,118000,53,1440
9400,945,0,127500,31,980
1680,672,0,91500,35,1218
8430,1040,0,124000,31,1040
7500,1080,0,141000,4,1080
11841,816,0,118500,17,816
9825,0,0,100000,45,1664
6040,0,0,82000,53,1152
8335,0,0,93000,52,1124
5000,0,0,39300,61,334
6240,0,0,80500,59,912
10800,0,0,106250,108,1294
5600,0,0,55000,80,1092
6120,264,0,60000,73,800
4130,270,0,52000,73,729
7920,319,0,89500,88,1406
5330,420,0,82500,69,708
5900,440,0,85500,83,869
6780,520,0,84500,71,520
9098,528,0,86000,87,605
4270,544,0,79000,76,774
1533,546,0,97000,39,1344
9600,572,0,79000,84,1096
8800,576,0,96500,100,1140
5925,600,0,37900,99,968
1890,630,0,81000,36,630
1491,630,0,75500,38,630
1936,630,0,84500,37,630
1533,630,0,92000,36,630
10106,644,0,127500,68,1355
8410,658,0,81000,96,1184
4388,672,0,87000,77,840
10020,683,0,61000,87,904
6882,684,0,127000,93,1355
5250,684,0,122000,136,2153
3880,686,0,110500,62,866
7082,686,0,160000,90,1928
4118,693,0,52500,65,693
9405,698,0,118000,62,698
7879,720,0,34900,89,720
10800,720,0,135000,57,1192
5350,728,0,76500,70,1306
4456,736,0,113000,89,1452
6300,742,0,128000,94,1484
5520,755,0,104000,97,1858
6342,780,0,94000,135,1020
5687,780,0,135900,96,1716
6130,784,0,109500,84,784
7446,788,0,100000,65,788
8500,793,0,115000,88,1517
8777,796,0,85000,98,796
3636,796,0,55000,86,796
8780,833,0,112000,24,833
8125,858,0,88000,35,858
7207,858,0,116500,52,858
10500,864,0,115000,39,864
5604,864,0,98000,83,864
8248,864,0,67000,94,864
4060,864,0,99900,87,864
5500,882,0,103200,51,882
9000,896,0,136000,35,1792
5586,901,0,79900,88,1198
9400,912,0,139000,39,1824
8525,940,0,130000,97,1964
9320,950,0,128950,51,1225
10712,974,0,93500,16,974
8070,990,0,123600,13,990
13907,996,0,108000,68,996
9000,1006,0,80000,49,1006
6000,1008,0,102000,80,1008
8470,1013,0,85000,94,1013
7000,1117,0,107500,98,1347
8402,1120,0,147000,0,1120
17217,1140,0,84500,0,1140
10800,1200,0,179000,22,1200
8777,1272,0,145900,108,2200
7711,1440,0,150000,30,1440
10896,1440,0,200000,93,2880
18030,1598,0,200500,61,2607
10778,1768,0,136500,42,1768
8000,1800,0,141000,46,1800
10159,1930,3,395192,1,1940
11394,1856,3,394432,0,1856
6371,1358,2,224000,1,1358
13518,1926,3,485000,1,3140
12919,2330,3,611657,1,2364
17423,2216,3,501837,1,2234
4403,1470,2,222000,1,1478
13891,1734,3,582933,1,2822
12704,2042,3,253293,1,2042
12220,2006,3,402861,0,2020
9541,1502,2,233170,0,1502
9187,1766,3,370878,0,1766
8004,832,2,263435,0,1935
12003,774,3,269500,1,1968
3951,612,2,164500,0,1224
3000,612,2,173733,0,1224
8640,1300,2,229456,0,1314
8640,756,2,215200,1,1547
13159,846,2,224500,0,1692
8640,900,2,252678,0,1852
10420,1212,2,186000,1,1212
7862,1218,2,208300,0,1218
10402,1226,3,198900,1,1226
13214,2002,3,378500,2,2018
63887,6110,2,160000,0,5642
8769,1702,3,367294,0,1702
11844,2046,3,372500,1,2046
12444,1932,3,394617,0,1932
13478,1722,3,451950,1,2296
9520,1638,3,293077,1,1646
14587,1498,2,264132,0,1506
12474,1682,3,426000,1,2332
10226,1622,3,295493,1,1630
14948,1452,3,446261,0,2713
12274,1417,2,227680,0,1428
12456,1700,3,337500,3,1718
11478,1704,3,306000,3,1704
15431,3094,3,555000,1,2402
9262,1573,3,287090,1,1578
11932,1580,3,235128,1,1580
5587,1600,2,392500,0,1652
5063,1314,2,207500,2,1314
5001,1314,2,230000,2,1314
11003,1017,3,310000,1,2007
11308,1104,3,335000,1,2184
10800,1034,3,339750,1,2078
9612,1468,3,244600,1,1468
10475,1694,3,245350,2,1694
12898,1620,3,315500,2,1620
9000,1566,2,262500,2,1566
9000,768,2,210000,1,1590
9100,864,1,127500,50,864
8640,1372,2,250580,1,1372
8125,813,2,205950,1,1665
4274,1241,2,199900,1,1241
11639,1428,2,182000,1,1428
14803,2078,3,385000,1,2084
40094,3138,3,184750,0,4676
14230,1566,3,256300,2,1600
10206,1563,3,245000,1,1563
11694,1822,3,314813,0,1828
13891,1710,3,372402,1,1710
9986,1795,3,147000,1,1795
7820,1869,2,318061,0,1869
13286,1698,3,320000,2,1698
10637,1705,3,297000,2,1718
12085,1734,3,318000,0,1734
14450,2121,3,415298,1,2121
10562,1582,3,325624,0,2161
10656,1638,3,248900,1,1646
9588,1482,3,276000,0,2574
12030,1694,3,318000,0,1694
9965,1264,3,383970,0,2696
9416,1726,3,311872,0,1726
9158,1496,2,225000,0,1496
3684,1373,3,174000,2,1555
3635,1386,3,175900,2,1569
6762,1208,2,195400,0,1208
8125,1092,2,241000,3,1550
15256,1485,3,282922,0,1464
7314,1232,2,194500,2,1232
10991,1571,3,239000,0,1571
14598,894,3,214000,1,1933
3922,1258,3,172500,1,1258
3182,1266,2,159895,1,1266
9735,384,2,167500,2,1394
8499,616,2,156932,1,1412
3604,689,2,146000,1,1392
9018,728,2,179540,0,1456
25339,816,2,112000,89,1416
10769,866,2,212000,2,1768
10207,874,2,227875,0,1761
8536,1125,2,155000,1,1125
9000,1184,2,303477,0,2610
11049,1234,2,179900,1,1234
8993,1302,2,176485,0,1302
11175,1316,2,200141,0,1316
8899,1340,2,181134,0,1340
8089,1419,2,392000,0,1419
8925,1466,3,201000,2,1466
9849,1689,3,248328,0,1689
11923,1800,2,239000,2,1800
13891,2076,3,465000,0,2076
13682,1410,3,438780,0,2945
20431,1848,3,437154,1,2728
11065,1085,3,281000,0,1970
13693,2153,3,380000,1,2643
14601,1838,3,315000,3,1838
4750,1573,2,235000,1,1625
12438,1234,3,361919,0,2576
19378,1392,2,320000,1,2462
10182,1660,2,290000,0,1660
10000,1588,3,227000,1,1588
14226,1935,3,395000,1,1973
16259,1249,3,342643,0,2596
14154,1063,3,280000,1,2172
9965,1466,3,424870,1,2828
10652,1494,3,279500,1,1494
14977,1976,3,440000,1,1976
11670,1905,3,320000,1,1905
13173,1652,2,325000,3,1652
11146,1709,3,255500,3,1717
11428,1626,3,250000,1,1634
13501,1623,3,255000,1,1636
8814,1604,2,220000,3,1604
6442,1370,2,202500,1,1370
6240,1324,2,254000,3,1324
14892,1746,3,377500,3,1746
4590,1554,2,209500,1,1554
15306,1732,3,283463,1,1776
7406,1199,2,194000,0,1220
3922,1258,3,194201,1,1402
7200,1262,2,185000,0,1262
11957,1574,3,232000,2,1574
4045,1356,3,246578,0,1500
9037,1476,2,265900,1,1484
14859,1670,3,240000,0,1670
6762,1187,2,206000,4,1208
4251,625,2,164700,1,1250
4017,625,2,171900,2,1250
17104,654,2,179665,0,1496
15578,728,2,172785,0,1456
11103,728,2,155835,1,1456
8125,770,2,197000,0,1576
23257,868,2,274725,0,2021
14054,879,3,219210,0,1863
9245,939,2,213500,1,1797
15611,1079,2,233230,0,1919
9000,1088,3,270000,1,1959
10728,1095,3,266000,0,1939
13072,1158,2,158000,2,1158
8556,1240,3,194000,1,1240
6762,1286,2,193879,0,1294
7200,1293,2,187750,0,1301
9317,1314,2,176432,1,1314
4230,1352,2,208900,1,1352
8760,1391,3,239799,0,1962
11216,1489,2,232600,0,1489
8990,1498,2,204900,0,1498
3982,1520,3,264561,0,1567
11096,1656,3,249700,1,1656
8849,1684,2,266000,3,1684
7658,1752,2,319900,5,1752
14215,1158,3,325300,1,2376
10994,1844,2,257000,4,1844
11924,1175,3,345000,1,2324
7577,1362,2,194700,2,1362
7313,1561,2,277500,2,1561
12665,1094,3,281213,2,2482
11198,1122,3,325000,3,2504
7052,1364,2,185850,1,1364
11210,1614,3,221500,1,1614
11302,1814,3,319000,1,1826
8688,1616,3,232000,1,1616
12182,1541,2,220000,5,1541
11443,1868,3,369900,1,2028
16056,1992,3,556581,1,2868
14157,1922,3,377426,2,1922
10084,1552,3,212900,1,1552
9587,856,2,190000,3,1166
10240,1030,3,275500,1,2098
3013,1362,2,213490,1,1506
5381,1306,2,196000,4,1306
8393,1626,2,145000,47,1712
6792,1368,2,202665,1,1368
6955,1368,2,202500,1,1368
3675,547,2,140000,1,1072
3675,547,2,148000,3,1072
3675,547,2,145000,1,1072
8814,1274,2,203000,2,1274
3010,1248,2,167240,1,1248
3182,1346,2,181000,4,1504
3182,1373,2,192500,4,1555
16158,1530,2,260000,4,1530
3182,1346,2,191000,3,1504
3182,1145,2,160200,4,1145
3180,600,2,151000,1,1120
3180,600,2,144152,1,1120
2544,600,2,147400,1,1143
8520,624,2,105900,82,720
12354,684,2,110000,89,1196
11911,684,2,174000,4,1560
8461,728,2,163990,1,1456
8199,728,2,189000,3,1456
8029,728,2,176000,3,1456
21930,732,2,192140,1,1838
8633,738,2,173500,4,1476
12589,742,2,174000,4,1484
8846,750,2,173900,1,1500
8125,756,2,186500,1,1553
10237,783,2,178900,2,1484
9803,866,2,226700,3,1768
10463,893,3,239900,1,1801
7200,900,2,134800,59,900
10625,1026,3,250000,3,1958
10574,1082,3,252000,4,1953
7024,1090,2,157000,2,1090
9675,1113,2,253000,4,1971
7024,1132,2,176000,3,1132
13072,1141,2,142500,1,1141
3316,1247,2,197000,1,1247
7500,1257,2,176000,1,1266
8767,1310,2,164990,1,1310
10237,1316,2,169990,1,1316
11645,1734,2,260000,1,1734
20896,2077,3,423000,1,2097
12099,1136,3,354000,3,2468
16033,1833,3,326000,2,1850
9591,1143,3,317000,3,2473
8450,1436,2,210000,4,1436
9591,1713,3,274900,5,1713
10386,2000,3,305900,3,2000
8834,1462,3,350000,5,2224
8487,1500,2,190000,5,1500
4438,848,2,149000,4,848
10084,1686,2,307000,3,1694
3842,1594,2,275000,4,1646
4426,848,2,143000,6,848
4438,848,2,144500,4,848
4435,848,2,155900,2,848
10171,1517,2,214000,6,1535
4426,848,2,141000,4,848
4426,848,2,149300,4,848
8198,1358,2,207000,4,1358
13418,1117,3,309000,2,2452
3363,976,2,130000,2,1708
8400,1473,2,213000,6,1484
12118,1710,2,240000,5,1710
8500,1422,2,179600,3,1422
8773,1414,2,185500,6,1414
16737,1980,3,315000,2,1980
2522,970,2,130000,2,1709
2522,970,2,130000,2,1709
2522,970,2,137500,2,1709
11362,1836,3,280000,5,1836
3072,1375,2,178740,2,1414
3182,1256,2,192000,6,1269
5105,551,2,148800,3,1102
3182,600,2,151000,6,1200
9056,707,2,178000,2,1414
7795,716,2,188500,5,1432
8320,770,2,185900,4,1582
15384,788,2,184000,4,1490
8366,798,2,173000,4,1640
7415,839,2,193000,4,1593
8244,840,2,183500,3,1720
12393,847,2,195000,2,1948
11796,847,2,215000,3,1959
11645,860,2,196500,2,1720
9313,864,2,190000,5,1728
10142,956,2,233000,6,2084
12552,991,2,254900,6,1947
13695,1114,2,159000,4,1114
13695,1114,2,155000,5,1114
7500,1221,2,185000,5,1221
4282,1391,2,196000,4,1391
14572,1530,3,259000,3,1530
11143,1580,2,340000,3,2466
9100,1860,2,216837,2,1836
10083,1176,2,184900,6,1200
13472,2392,3,386250,6,2392
9375,1053,2,250000,5,1992
13688,1572,3,412500,5,2668
53504,1650,3,538000,7,3279
11846,1792,3,374000,3,1792
7301,0,2,198500,6,1922
12677,1518,2,274000,5,1518
9590,868,2,187500,4,1146
11999,1181,3,285000,4,2374
10655,3206,3,284000,6,1629
10625,998,3,284000,5,2046
10927,1058,2,275000,1,1904
8158,884,2,224900,5,1768
12244,1482,3,305000,5,2262
9548,941,2,237000,7,1829
8450,856,2,208500,5,1710
10635,1657,2,232000,7,1668
4435,848,2,140000,6,848
4435,848,2,131500,4,848
4435,848,2,144000,6,848
4435,848,2,136500,5,848
10665,1453,2,226000,4,1479
3136,1405,2,171750,3,1405
9135,1682,2,200000,3,1700
2448,764,2,154000,5,1626
2268,764,2,173000,6,1626
2628,764,2,175500,7,1626
11317,840,2,180000,4,1668
6931,746,2,165400,5,1656
3196,1273,2,215000,3,1456
3196,1374,2,234000,3,1557
10800,482,2,163000,103,1912
7750,660,2,162000,4,1320
8064,672,2,122900,58,924
8730,698,1,153575,92,1396
6000,735,2,131000,66,1218
7875,783,2,180000,3,1509
7226,798,2,183000,5,1640
12394,847,2,225000,4,1733
8200,847,2,219500,4,1928
8791,864,2,207500,5,1728
9375,912,2,263000,6,2094
8546,1121,2,140000,7,1121
8450,1337,2,185000,4,1337
11426,1362,2,200000,5,2082
12822,1434,2,239686,6,2149
18386,1470,3,295000,128,3493
9196,1560,2,201000,7,1560
12378,1896,3,360000,3,1944
7851,860,2,216500,8,1960
9473,1128,2,237000,6,2031
